"filename", "language", "C++", "comment", "blank", "total"
"/home/plato/mipt_projs/course2/graphic_lib/src/GraphicEditor.cpp", "C++", 73, 10, 35, 118
"/home/plato/mipt_projs/course2/graphic_lib/src/Raytracer.h", "C++", 20, 1, 11, 32
"/home/plato/mipt_projs/course2/graphic_lib/src/dts.h", "C++", 194, 33, 80, 307
"/home/plato/mipt_projs/course2/graphic_lib/src/geom_primitives/Plane.cpp", "C++", 39, 8, 21, 68
"/home/plato/mipt_projs/course2/graphic_lib/src/geom_primitives/Sphere.cpp", "C++", 59, 5, 24, 88
"/home/plato/mipt_projs/course2/graphic_lib/src/geom_primitives/Vector.cpp", "C++", 87, 16, 45, 148
"/home/plato/mipt_projs/course2/graphic_lib/src/geom_primitives/Vector3D.cpp", "C++", 87, 18, 42, 147
"/home/plato/mipt_projs/course2/graphic_lib/src/geometry_objects.h", "C++", 102, 3, 46, 151
"/home/plato/mipt_projs/course2/graphic_lib/src/graphic_lib_wrapper.h", "C++", 157, 17, 52, 226
"/home/plato/mipt_projs/course2/graphic_lib/src/graphical_primitives/Button.cpp", "C++", 36, 3, 14, 53
"/home/plato/mipt_projs/course2/graphic_lib/src/graphical_primitives/Color.cpp", "C++", 63, 8, 31, 102
"/home/plato/mipt_projs/course2/graphic_lib/src/graphical_primitives/CoordinateSys.cpp", "C++", 84, 9, 38, 131
"/home/plato/mipt_projs/course2/graphic_lib/src/graphical_primitives/Text.cpp", "C++", 15, 3, 11, 29
"/home/plato/mipt_projs/course2/graphic_lib/src/graphical_primitives/Vector.cpp", "C++", 62, 14, 39, 115
"/home/plato/mipt_projs/course2/graphic_lib/src/logger.cpp", "C++", 161, 19, 88, 268
"/home/plato/mipt_projs/course2/graphic_lib/src/logger.h", "C++", 68, 19, 24, 111
"/home/plato/mipt_projs/course2/graphic_lib/src/main.cpp", "C++", 19, 2, 6, 27
"/home/plato/mipt_projs/course2/graphic_lib/src/scene_objects.h", "C++", 105, 6, 35, 146
"/home/plato/mipt_projs/course2/graphic_lib/src/tests.h", "C++", 29, 2, 12, 43
"/home/plato/mipt_projs/course2/graphic_lib/src/tests/ActionVectorsTest.cpp", "C++", 65, 9, 30, 104
"/home/plato/mipt_projs/course2/graphic_lib/src/tests/RaytracingTest.cpp", "C++", 187, 50, 83, 320
"/home/plato/mipt_projs/course2/graphic_lib/src/tests/SphereTest.cpp", "C++", 90, 10, 42, 142
"Total", "-", 1802, 265, 809, 2876
